Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
delete,delete,906,0,70.47,70.47,0.19,0,100%
read,read,5343,115265496000,548.33,140.54,1.11,24004098.37,100%
list,list,862,0,109.94,109.94,0.18,0,100%
write,write,1718,37327940000,1005.92,755.81,0.36,7773562.56,100%
delete,delete,794,0,61.58,61.58,0.17,0,100%
read,read,5393,113370248000,522.48,140.81,1.12,23612736.15,100%
list,list,926,0,108.88,108.87,0.19,0,100%
write,write,1849,38706736000,981.75,745.05,0.39,8061832.45,100%
delete,delete,890,0,75.34,75.34,0.19,0,100%
read,read,5510,115601024000,521.98,142.22,1.15,24074503.68,100%
list,list,949,0,105.91,105.91,0.2,0,100%
write,write,1852,38512252000,955.73,711.85,0.39,8020373.18,100%
delete,delete,919,0,59.69,59.69,0.19,0,100%
read,read,5386,113172364000,537.11,146.77,1.12,23571702.55,100%
list,list,866,0,104.93,104.93,0.18,0,100%
write,write,1791,35955180000,988.2,735.54,0.37,7488796.54,100%
delete,delete,902,0,52.33,52.33,0.19,0,100%
read,read,5501,115071812000,515.03,137.1,1.15,23968185.95,100%
list,list,933,0,103.77,103.77,0.19,0,100%
write,write,1817,40345148000,1000.12,733.33,0.38,8403448.18,100%
delete,delete,907,0,58.95,58.95,0.19,0,100%
read,read,5902,116655604000,481.63,137.3,1.23,24318490.42,100%
list,list,985,0,98.01,98.01,0.21,0,100%
write,write,1903,36940288000,934.58,720.43,0.4,7700719.12,100%
delete,delete,987,0,80.01,80.01,0.21,0,100%
read,read,5362,112319212000,530.25,137.52,1.12,23390655,100%
list,list,904,0,94.03,94.03,0.19,0,100%
write,write,1771,37132396000,1024.54,770.36,0.37,7732880.68,100%
delete,delete,855,0,68.82,68.82,0.18,0,100%
read,read,5326,111005968000,541.82,144.06,1.11,23126084.34,100%
list,list,890,0,106.59,106.59,0.19,0,100%
